LOCATION,Country,Indicator,TIME,Value
AUS,Australia,Dwellings without basic facilities,2013,1.2
AUT,Austria,Dwellings without basic facilities,2013,1.2
BEL,Belgium,Dwellings without basic facilities,2013,1.4
CAN,Canada,Dwellings without basic facilities,2013,0.2
CZE,Czech Republic,Dwellings without basic facilities,2013,0.7
DNK,Denmark,Dwellings without basic facilities,2013,0.6
FIN,Finland,Dwellings without basic facilities,2013,0.7
FRA,France,Dwellings without basic facilities,2013,0.6
DEU,Germany,Dwellings without basic facilities,2013,0.9
GRC,Greece,Dwellings without basic facilities,2013,0.9
HUN,Hungary,Dwellings without basic facilities,2013,4.7
ISL,Iceland,Dwellings without basic facilities,2013,0.4
IRL,Ireland,Dwellings without basic facilities,2013,0.2
ITA,Italy,Dwellings without basic facilities,2013,0.4
JPN,Japan,Dwellings without basic facilities,2013,6.4
KOR,Korea,Dwellings without basic facilities,2013,4.2
LUX,Luxembourg,Dwellings without basic facilities,2013,0.1
MEX,Mexico,Dwellings without basic facilities,2013,4.2
NLD,Netherlands,Dwellings without basic facilities,2013,0
NZL,New Zealand,Dwellings without basic facilities,2013,0.2
NOR,Norway,Dwellings without basic facilities,2013,0.3
POL,Poland,Dwellings without basic facilities,2013,4
PRT,Portugal,Dwellings without basic facilities,2013,1.2
SVK,Slovak Republic,Dwellings without basic facilities,2013,1.4
ESP,Spain,Dwellings without basic facilities,2013,0
SWE,Sweden,Dwellings without basic facilities,2013,0
CHE,Switzerland,Dwellings without basic facilities,2013,0.1
TUR,Turkey,Dwellings without basic facilities,2013,12.7
GBR,United Kingdom,Dwellings without basic facilities,2013,0.1
USA,United States,Dwellings without basic facilities,2013,0
OTO,OECD - Total,Dwellings without basic facilities,2013,2.2
BRA,Brazil,Dwellings without basic facilities,2013,6.7
CHL,Chile,Dwellings without basic facilities,2013,9.4
EST,Estonia,Dwellings without basic facilities,2013,9.6
ISR,Israel,Dwellings without basic facilities,2013,3.8
RUS,Russia,Dwellings without basic facilities,2013,2.8
SVN,Slovenia,Dwellings without basic facilities,2013,0.5
AUS,Australia,Dwellings without basic facilities,2013,1.2
AUT,Austria,Dwellings without basic facilities,2013,1.2
BEL,Belgium,Dwellings without basic facilities,2013,1.4
CAN,Canada,Dwellings without basic facilities,2013,0.2
CZE,Czech Republic,Dwellings without basic facilities,2013,0.7
DNK,Denmark,Dwellings without basic facilities,2013,0.6
FIN,Finland,Dwellings without basic facilities,2013,0.7
FRA,France,Dwellings without basic facilities,2013,0.6
DEU,Germany,Dwellings without basic facilities,2013,0.9
GRC,Greece,Dwellings without basic facilities,2013,0.9
HUN,Hungary,Dwellings without basic facilities,2013,4.7
ISL,Iceland,Dwellings without basic facilities,2013,0.4
IRL,Ireland,Dwellings without basic facilities,2013,0.2
ITA,Italy,Dwellings without basic facilities,2013,0.4
JPN,Japan,Dwellings without basic facilities,2013,6.4
KOR,Korea,Dwellings without basic facilities,2013,4.2
LUX,Luxembourg,Dwellings without basic facilities,2013,0.1
MEX,Mexico,Dwellings without basic facilities,2013,4.2
NLD,Netherlands,Dwellings without basic facilities,2013,0
NZL,New Zealand,Dwellings without basic facilities,2013,0.2
NOR,Norway,Dwellings without basic facilities,2013,0.3
POL,Poland,Dwellings without basic facilities,2013,4
PRT,Portugal,Dwellings without basic facilities,2013,1.2
SVK,Slovak Republic,Dwellings without basic facilities,2013,1.4
ESP,Spain,Dwellings without basic facilities,2013,0
SWE,Sweden,Dwellings without basic facilities,2013,0
CHE,Switzerland,Dwellings without basic facilities,2013,0.1
TUR,Turkey,Dwellings without basic facilities,2013,12.7
GBR,United Kingdom,Dwellings without basic facilities,2013,0.1
USA,United States,Dwellings without basic facilities,2013,0
BRA,Brazil,Dwellings without basic facilities,2013,6.7
CHL,Chile,Dwellings without basic facilities,2013,9.4
EST,Estonia,Dwellings without basic facilities,2013,9.6
ISR,Israel,Dwellings without basic facilities,2013,3.8
RUS,Russia,Dwellings without basic facilities,2013,2.8
SVN,Slovenia,Dwellings without basic facilities,2013,0.5
AUS,Australia,Dwellings without basic facilities,2013,1.2
AUT,Austria,Dwellings without basic facilities,2013,1.2
BEL,Belgium,Dwellings without basic facilities,2013,1.4
CAN,Canada,Dwellings without basic facilities,2013,0.2
CZE,Czech Republic,Dwellings without basic facilities,2013,0.7
DNK,Denmark,Dwellings without basic facilities,2013,0.6
FIN,Finland,Dwellings without basic facilities,2013,0.7
FRA,France,Dwellings without basic facilities,2013,0.6
DEU,Germany,Dwellings without basic facilities,2013,0.9
GRC,Greece,Dwellings without basic facilities,2013,0.9
HUN,Hungary,Dwellings without basic facilities,2013,4.7
