LOCATION,Country,Indicator,Unit,Value
AUS,Australia,Dwellings without basic facilities,Percentage,1.1
AUT,Austria,Dwellings without basic facilities,Percentage,1
BEL,Belgium,Dwellings without basic facilities,Percentage,1.9
CAN,Canada,Dwellings without basic facilities,Percentage,0.2
CZE,Czech Republic,Dwellings without basic facilities,Percentage,0.9
DNK,Denmark,Dwellings without basic facilities,Percentage,0.4
FIN,Finland,Dwellings without basic facilities,Percentage,0.6
FRA,France,Dwellings without basic facilities,Percentage,0.5
DEU,Germany,Dwellings without basic facilities,Percentage,0.9
GRC,Greece,Dwellings without basic facilities,Percentage,0.5
HUN,Hungary,Dwellings without basic facilities,Percentage,4.8
ISL,Iceland,Dwellings without basic facilities,Percentage,0.4
IRL,Ireland,Dwellings without basic facilities,Percentage,0.2
ITA,Italy,Dwellings without basic facilities,Percentage,0.5
JPN,Japan,Dwellings without basic facilities,Percentage,6.4
KOR,Korea,Dwellings without basic facilities,Percentage,4.2
LUX,Luxembourg,Dwellings without basic facilities,Percentage,0.7
MEX,Mexico,Dwellings without basic facilities,Percentage,4.2
NLD,Netherlands,Dwellings without basic facilities,Percentage,0
NZL,New Zealand,Dwellings without basic facilities,Percentage,0.2
NOR,Norway,Dwellings without basic facilities,Percentage,0.3
POL,Poland,Dwellings without basic facilities,Percentage,3.5
PRT,Portugal,Dwellings without basic facilities,Percentage,0.9
SVK,Slovak Republic,Dwellings without basic facilities,Percentage,1.1
ESP,Spain,Dwellings without basic facilities,Percentage,0
SWE,Sweden,Dwellings without basic facilities,Percentage,0
CHE,Switzerland,Dwellings without basic facilities,Percentage,0.1
TUR,Turkey,Dwellings without basic facilities,Percentage,12.7
GBR,United Kingdom,Dwellings without basic facilities,Percentage,0.3
USA,United States,Dwellings without basic facilities,Percentage,0.1
BRA,Brazil,Dwellings without basic facilities,Percentage,6.7
CHL,Chile,Dwellings without basic facilities,Percentage,9.4
EST,Estonia,Dwellings without basic facilities,Percentage,8.6
ISR,Israel,Dwellings without basic facilities,Percentage,3.8
RUS,Russia,Dwellings without basic facilities,Percentage,15.1
SVN,Slovenia,Dwellings without basic facilities,Percentage,0.4
AUS,Australia,Dwellings without basic facilities,Percentage,1.1
AUT,Austria,Dwellings without basic facilities,Percentage,1
BEL,Belgium,Dwellings without basic facilities,Percentage,1.9
CAN,Canada,Dwellings without basic facilities,Percentage,0.2
CZE,Czech Republic,Dwellings without basic facilities,Percentage,0.9
DNK,Denmark,Dwellings without basic facilities,Percentage,0.4
FIN,Finland,Dwellings without basic facilities,Percentage,0.6
FRA,France,Dwellings without basic facilities,Percentage,0.5
DEU,Germany,Dwellings without basic facilities,Percentage,0.9
GRC,Greece,Dwellings without basic facilities,Percentage,0.5
HUN,Hungary,Dwellings without basic facilities,Percentage,4.8
ISL,Iceland,Dwellings without basic facilities,Percentage,0.4
IRL,Ireland,Dwellings without basic facilities,Percentage,0.2
ITA,Italy,Dwellings without basic facilities,Percentage,0.5
JPN,Japan,Dwellings without basic facilities,Percentage,6.4
