,Life_expectancy_years,self_reported_health_percent
Country,,
Australia,82,85
Austria,81.1,69
Belgium,80.5,74
Canada,81,88
Chile,78.3,59
Czech Republic,78,60
Denmark,79.9,71
Estonia,76.3,52
Finland,80.6,69
France,82.2,68
Germany,80.8,65
Greece,80.8,76
Hungary,75,56
Iceland,82.4,78
Ireland,80.6,83
Israel,81.8,82
Italy,82.7,65
Japan,82.7,30
Korea,81.1,37
Luxembourg,81.1,73
Mexico,74.4,66
Netherlands,81.3,76
New Zealand,81.2,89
Norway,81.4,73
Poland,76.9,58
Portugal,80.8,50
Slovak Republic,76.1,63
Slovenia,80.1,61
Spain,82.4,75
Sweden,81.9,80
Switzerland,82.8,81
Turkey,74.6,67
United Kingdom,81.1,78
United States,78.7,90
