Country,Time,Value
Australia,2000,17.2
Australia,2001,14.3
Australia,2002,15
Australia,2003,13
Australia,2004,14.4
Australia,2005,15.8
Australia,2006,16.7
Australia,2007,15.4
Australia,2008,11.9
Australia,2009,16.4
Australia,2010,14
Australia,2011,16
Australia,2012,13.8
Austria,2000,23.1
Austria,2001,22.8
Austria,2002,24.5
Austria,2003,21.1
Austria,2004,22.4
Austria,2005,22
Austria,2006,21.9
Austria,2007,21.6
Austria,2008,20.9
Austria,2009,19.4
Austria,2010,19.2
Austria,2011,18.6
Belgium,2000,13.6
Belgium,2001,13.2
Belgium,2002,11.6
Belgium,2003,15.2
Belgium,2004,11.8
Belgium,2005,11.5
Belgium,2006,10.3
Belgium,2007,9.9
Belgium,2008,8.9
Belgium,2009,7.5
Belgium,2010,7
Belgium,2011,5.8
Canada,2000,23.9
Canada,2001,24.3
Canada,2002,24
Canada,2003,22.5
Canada,2004,22.7
Canada,2005,21.3
Canada,2006,21.1
Canada,2007,20.8
Canada,2008,20.5
Canada,2009,20.1
Canada,2010,19
Canada,2011,19.2
Canada,2012,19.5
Czech Republic,2000,19.1
Czech Republic,2001,17
Czech Republic,2002,16.1
Czech Republic,2003,15.8
Czech Republic,2004,16.3
Czech Republic,2005,16.1
Czech Republic,2006,15.5
Czech Republic,2007,17.1
Czech Republic,2008,18
Czech Republic,2009,15.2
Czech Republic,2011,16.5
Czech Republic,2012,15.4
Denmark,2008,10.2
Denmark,2009,10.2
Denmark,2010,8.9
Denmark,2011,7.9
Finland,2000,20.4
Finland,2001,21.2
Finland,2002,20.4
Finland,2003,20.1
Finland,2004,20
Finland,2005,18.9
Finland,2006,19.4
Finland,2007,21.4
Finland,2008,21.2
Finland,2009,19.7
Finland,2010,18.9
Finland,2011,18.6
France,2000,14.6
France,2001,15.1
France,2002,15.2
France,2003,15.1
France,2004,15
France,2005,14.4
France,2006,14
France,2007,14
France,2008,14.3
France,2009,14
Germany,2000,20.5
Germany,2001,19.3
Germany,2002,19.1
Germany,2003,20.4
Germany,2004,22.5
Germany,2005,17.3
Germany,2006,19.3
Germany,2007,17.1
Germany,2008,17.4
Germany,2009,17
Germany,2010,16.8
Germany,2011,17.1
Greece,2004,13.9
Greece,2005,16.7
Greece,2006,11.9
Greece,2007,11.6
Greece,2008,9.5
Greece,2010,12.2
Greece,2011,10.7
Hungary,2000,14.1
Hungary,2001,13.7
